,feature,i,f,c,o,cell
0,0,-0.051818922162055005,-0.054414965212345005,0.388985097408294,-0.21254535019397702,0
1,0,0.281944543123245,-0.11309316009283,0.31531023979187,0.08083001524209901,1
2,0,0.09668010473251301,-0.007551535964012,-0.029376873746514,0.097409941256046,2
3,0,0.209902465343475,-0.11446483433246601,0.46954202651977506,0.271263271570205,3
4,0,0.124584764242172,-0.09789449721574701,0.27387237548828103,0.11201312392950001,4
5,0,-0.24822546541690801,-0.017963960766792002,-0.41007182002067505,0.026527734473347,5
6,0,0.1608726978302,-0.109651342034339,-0.08365402370691301,0.11575495451688701,6
7,0,0.250937670469284,-0.13694816827774,0.47177299857139504,0.362968981266021,7
8,0,-0.154894039034843,-0.06005233526229801,0.517484009265899,0.008639143779873001,8
9,0,-0.49607548117637607,-0.044931821525096005,0.340579718351364,-0.48715928196907005,9
10,0,0.029030198231339004,-0.035140961408615,-0.40495333075523304,0.14823183417320202,10
11,0,0.19787275791168202,0.058620691299438005,-0.40989747643470703,0.19429525732994002,11
12,0,0.15705369412899,-0.079929284751415,-0.46217817068099903,0.058074906468391,12
13,0,0.281879186630249,0.033626556396484,-0.5147825479507441,0.104114718735218,13
14,0,-0.033301867544651004,0.047607257962226,0.010921166278421001,0.174146339297294,14
15,0,0.140239790081977,-0.10199441015720301,-0.5278491973876951,0.23272313177585602,15
16,0,0.044727180153131006,-0.076074793934822,-0.47354170680046004,0.10103136301040601,16
17,0,0.015696577727794002,-0.15764778852462702,-0.483238488435745,0.093514762818813,17
18,0,0.19302052259445102,-0.11889545619487701,-0.48436391353607106,0.266214370727539,18
19,0,0.261494874954223,0.16611292958259502,-0.24470408260822202,0.18891160190105402,19
20,0,0.308222025632858,0.15989327430725,-0.37214022874832103,0.134365260601043,20
21,0,-0.184827610850334,-0.09284771978855101,-0.404731810092926,-0.260387897491455,21
22,0,0.059686526656150006,0.037592723965644004,0.43410316109657204,0.368045955896377,22
23,0,0.19897043704986503,-0.164278656244277,-0.05782543122768401,0.15985944867134,23
24,0,0.090171463787555,0.114425271749496,-0.45633134245872503,0.09402814507484401,24
25,0,-0.153456643223762,0.044618889689445,-0.42621186375617903,0.012274787761271002,25
26,0,0.19675789773464203,-0.10676505416631601,-0.50483763217926,0.270010828971862,26
27,0,0.049089048057794,-0.103535950183868,0.47099366784095703,0.07695958763360901,27
28,0,0.025473680347204004,-0.0077282041311260005,0.5092647671699521,-0.07147848606109601,28
29,0,-0.36055055260658203,0.162905275821685,0.297427177429199,-0.10083021223545001,29
30,0,0.075689375400543,-0.09929920732975,0.49080038070678705,0.21565903723239901,30
31,0,-0.20471882820129303,-0.105676755309104,-0.002424408914521,-0.134314715862274,31
32,0,0.217067912220954,-0.157415032386779,0.339267462491989,0.23217038810253102,32
33,0,0.30695241689682,-0.131726026535034,0.416060775518417,-0.0018208452966060001,33
34,0,0.052633430808782,-0.12133283913135501,-0.318467199802398,-0.11844913661479901,34
35,0,-0.27812722325325,-0.130923733115196,-0.509929120540618,-0.5191246271133421,35
36,0,-0.255765944719314,-0.014377951622009002,0.14887680113315502,-0.13281424343585901,36
37,0,0.18431732058525002,0.15438443422317502,-0.413487553596496,0.275998353958129,37
38,0,0.132286444306373,0.167416334152221,-0.35003164410591103,0.15822197496891002,38
39,0,0.012783428654074001,0.081250816583633,-0.31961816549301103,0.014243976213037001,39
40,0,-0.02279938198626,-0.12761643528938202,-0.026189934462308002,0.052836719900369006,40
41,0,0.197600319981575,-0.12217432260513302,0.39056861400604204,0.217596381902694,41
42,0,-0.6144366264343261,-0.043446242809295,-0.431363999843597,-0.55655151605606,42
43,0,0.176285237073898,-0.10593158006668,0.034769494086503004,0.17440623044967601,43
44,0,0.23955067992210302,0.029832124710083,0.18386246263980802,0.20710787177085802,44
45,0,0.17437551915645602,-0.06201395392417901,-0.33480483293533303,0.072264805436134,45
46,0,0.14427693188190402,0.063848868012428,0.36714240908622703,0.225414380431175,46
47,0,-0.208849027752876,0.051939815282821,-0.511979341506958,-0.240515664219856,47
48,0,0.31228792667388905,-0.152890786528587,0.34707978367805403,0.14373317360877902,48
49,0,-0.019119000062346,0.09014207124710001,0.423373967409133,-0.130668714642524,49
50,1,0.10474779456853801,-0.12353754043579102,0.011329145170748001,0.180764317512512,0
51,1,0.099947459995746,0.055491447448730004,0.12316905707120801,-0.15554749965667702,1
52,1,-0.238921269774436,0.059460639953613004,-0.011358089745044,-0.20589402318000702,2
53,1,0.076535277068614,-0.07732851058244701,0.025484422221779,0.128358095884323,3
54,1,-0.083998553454875,0.013828650116920001,0.07325416803359901,0.118780240416526,4
55,1,0.23718392848968503,0.016162812709808003,-0.087080061435699,0.31177189946174605,5
56,1,-0.10544808208942401,-0.08350549638271301,-0.080559447407722,-0.13561074435710901,6
57,1,0.05513365194201401,-0.071905925869941,0.036448583006858,0.011231285519897001,7
58,1,0.23173689842224102,0.006239101290702,-0.126199796795845,-0.036500226706266,8
59,1,0.054927501827478006,0.023273974657058,-0.060610756278038004,-0.051104191690683004,9
